Aatank Hi Aatank
Aazmayish
Ab Insaf Hoga
Ahankaar
Akele Hum Akele Tum
Andolan
Angrakshak
Anokha Andaaz
Baazi
Barsaat
Bewafa Sanam
Coolie No. 1
Criminal
Dil Ka Doctor
Dilwale Dulhania Le Jayenge
Diya Aur Toofan
Droh Kaal
Fauji
Gaddaar
Gambler
God and Gun
Guddu
Gundaraj
Guneghar
Haqeeqat
Hathkadi
Hulchul
Hum Dono
Hum Sab Chor Hain
Jaadu
Jai Vikraanta
Jallaad
Janam Kundli
Jawab
Kalyug Ke Avtaar
Karan Arjun
Kartavya
Kismat
Maidan-E-Jung
Mera Damad
Milan
Naajayaz
Naseem
Nazar Ke Samne
Nishana
Oh Darling! Yeh Hai India!
Paandav
Paappi Devataa
Param Vir Chakra
Policewala Gunda
Prem
Raghuveer
Raja
Ram Jaane
Ram Shastra
Rangeela
Ravan Raaj: A True Story
Yaraana
Zakhmi Sipahi
Zamaana Deewana
Aatank
Agni Prem
Agni Sakshi
Aisi Bhi Kya Jaldi Hai
Ajay
Angaara
Apne Dam Par
Army
Aur Ek Prem Kahani
Aurat Aurat Aurat
Bal Bramhachari
Bambai Ka Babu
Bandish
Beqabu
Bhairavi
Bhishma
Chaahat
Chall
Chhota Sa Ghar
Chhote Sarkar
Daanveer
Daayraa
Daraar
Dastak
Dil Tera Deewana
Diljale
Duniyaa Jhukti Hai
Dushman Duniya Ka
Dushmani: A Violent Love Story
Ek Anari Do Khiladi
Ek Tha Raja
English Babu Desi Mem
Fareb
Fire
Ghatak
Gehra Raaz
Hahakaar
Halo
Hasina Aur Nagina
Himmat
Himmatvar
Hukumnama
Hum Hain Khalnayak
Hum Hain Premi
Is Raat Ki Subah Nahin
Jaan
Jagannath
Jay Baba Pashupatinath
Jeet
Jung
Jurmana
Kalinga
Khamoshi: The Musical
Khiladiyon Ka Khiladi
Khilona
Khoon Ki Pyasi
Krishna
Laalchee
Loafer
Maachis
Maahir
Mafia
Majhdhaar
Masoom
Megha
Mr. Bechara
Muqadama
Muqaddar
Muthi Bhar Zameen
Namak
Nirbhay
Papa Kehte Hai
Papi Gudia
Phool Bane Patthar
Prem Granth
Raja Aur Rangeeli
Raja Hindustani
Raja Ki Aayegi Baraat
Rajkumar
Rakshak
Ram Aur Shyam
Rangbaaz
Return of Jewel Thief
Saajan Chale Sasural
Sanshodhan
Sapoot
Sardari Begum
Sautela Bhai
Shastra
Shikaar
Shohrat
Smuggler
Spot Boy
Talaashi
Tere Mere Sapne
The Making of the Mahatma
The Square Circle
Tu Chor Main Sipahi
"Unicorn, the Garden of the Fruits"
Vijeta
Vishwasghaat
Yaaron Ka Yaar
Yash
Zordaar
Aakhri Sanghursh
Aar Ya Paar
Aastha: In the Prison of Spring
Abhaas
Aflatoon
Agnee Morcha
Agnichakra
Ankhon Mein Tum Ho
Aur Pyaar Ho Gaya
Auzaar
Banarasi Babu
Betaabi
Bhai
Bhai Bhai
Bhayaanak Panja
Border
Chachi 420
Char Adhyay
Chupp
Daadagiri
Daava
Dance of the Wind
Darmiyaan
Daud
Deewana Mastana
Dil Ke Jharoke Main
Dil To Pagal Hai
Dil Kitna Nadan Hai
Dhaal
Do Ankhen Barah Hath
Ek Phool Teen Kante
Ghulam-E-Mustafa
Gudia
Gudgudee
Gundagardi
Gupt: The Hidden Truth
Hameshaa
Hero No. 1
Himalay Putra
Insaaf
Ishq
Itihaas
Jeeo Shaan Se
Jeevan Yudh
Jodidar
Judaai
Judge Mujrim
Judwaa
