Kudiyon Ka Hai Zamana
Devaki
Jawani Diwani
Zinda
Jawani Diwani
Rang De Basanti
Aksar
Mere Jeevan Saathi
Aisa Kyon Hota Hai?
Dharti Kahe Pukar Ke
Holiday
Chingaari
Taxi No. 9211
Teesri Aankh: The Hidden Camera
Jigyaasa
Malamaal Weekly
Umar
Being Cyrus
Souten: The Other Woman
Chand Ke Paar Chalo
Banaras
Saawan The Love Season
Shaadi Se Pehle
Humko Deewana Kar Gaye
Pyare Mohan
Darna Zaroori Hai
Gangster
Tom Dick And Harry
Aatma
Ankahee
Fanaa
Love Ke Chakkar Mein
Phir Hera Pheri
Alag
The Killer
The Real Dream Girls
Yun Hota Toh Kya Hota
Shaadi Karke Phas Gaya Yaar
Kabhi Alvida Naa Kehna
Ahista Ahista
Aap Ki Khatir
Sandwich
Jaane Hoga Kya
Lage Raho Munna Bhai
Pyaar Ke Side Effects
Shiva
Dor
Khosla Ka Ghosla
Rocky
Krishna
Woh Lamhe
Bhoot Unkle
Iqraar by Chance
Zindaggi Rocks
Umrao Jaan
Apna Sapna Money Money
Deadline: Sirf 24 Ghante
Vivah
Sarhad Paar
Dhoom 2
Baabul
Aryan: Unbreakable
Anwar
Guru
Risk
Salaam-e-Ishq: A Tribute to Love
Traffic Signal
Black Friday
My Bollywood Bride
Big Brother
Bheja Fry
Life Mein Kabhie Kabhiee
Aur Pappu Paas Ho Gaya
Kya Love Story Hai
Ta Ra Rum Pum
Yatra
"Good Boy, Bad Boy"
Life in a Metro
Ek Chalis Ki Last Local
Raqeeb
Cheeni Kum
Shootout at Lokhandwala
Fool & Final
Dharm
Jhoom Barabar Jhoom
Naqaab
Partner
Cash
"Gandhi, My Father"
Chak De! India
Kaafila
Buddha Mar Gaya
Marigold
Heyy Babyy
Aag
Dhokha
Victoria No. 203
Apna Asmaan
Darling
Dhamaal
Aggar
Nanhe Jaisalmer
Dhol
Aaja Nachle
Gauri: The Unborn
Dus Kahaniyaan
Khoya Khoya Chand
Strangers
Taare Zameen Par
Welcome
Return of Hanuman
Showbiz
Humne Jeena Seekh Liya
Halla Bol
My Name Is Anthony Gonsalves
Bombay to Bangkok
Tulsi
Sunday
Rama Rama Kya Hai Dramaa?
Superstar
Jodhaa Akbar
Black & White
Race
One Two Three
Shaurya
Bhram
Krazzy 4
U Me Aur Hum
Pehli Nazar Ka Pyaar
Sirf
Tashan
Mr. Black Mr. White
Anamika
Jimmy
Bhoothnath
Jannat
Dhoom Dadakka
Don Muthu Swami
Ghatothkach
Woodstock Villa
Aamir
Sarkar Raj
Mere Baap Pehle Aap
Summer 2007
De Taali
Haal-e-Dil
Thoda Pyaar Thoda Magic
Thodi Life Thoda Magic
Via Darjeeling
Jaane Tu Ya Jaane Na
Love Story 2050
Mehbooba
Kismat Konnection
Contract
Mission Istaanbul
Money Hai Toh Honey Hai
Ugly Aur Pagli
Good Luck!
Singh Is Kinng
Bachna Ae Haseeno
God Tussi Great Ho
Phoonk
Mumbai Meri Jaan
Maan Gaye Mughal-e-Azam
Rock On!!
C Kkompany
Chamku
Mukhbiir
A Wednesday!
Tahaan
The Last Lear
Welcome to Sajjanpur
Saas Bahu Aur Sensex
Hari Puttar: A Comedy of Terrors
Kidnap
Drona
Hello
Karzzzz
Heroes
Roadside Romeo
Golmaal Returns
Fashion
EMI - Liya Hai Toh Chukana Parega
Ek Vivaah Aisa Bhi
Dasvidaniya
Dostana
Deshdrohi
Yuvvraaj
Gumnaam – The Mystery
Oye Lucky! Lucky Oye!
Sorry Bhai!
Maharathi
Dil Kabaddi
Meerabai Not Out
"Oh, My God[2]"
Rab Ne Bana Di Jodi
Wafaa
Ghajini
Jumbo
Eklavya: The Royal Guard
Mumbai Chakachak[2]
Horn 'Ok' Pleassss
Chandni Chowk to China
Aasma: The Sky Is the Limit
Raaz: The Mystery Continues
Luck by Chance
Victory
Dev.D
Chal Chala Chal
Mere Khwabon Mein Jo Aaye
Billu
The Stoneman Murders
Delhi-6
Kisse Pyaar Karoon
13B
Dhoondte Reh Jaaoge
Karma Aur Holi
Jai Veeru
Little Zizou
Gulaal
Aloo Chaat
