Chhota Bheem Himalayan Adventures
Wazir
Chalk n Duster
Rebellious Flower
Airlift
Jugni
Kyaa Kool Hain Hum 3
Saala Khadoos
Mastizaade
Sanam Teri Kasam
Ghayal: Once Again
Fitoor
Sanam Re
Direct Ishq
Ishq Forever
LoveShhuda
Neerja
Dhara 302
Aligarh
Bollywood Diaries
Love Shagun
Tere Bin Laden: Dead or Alive
Zubaan
Jai Gangaajal
Global Baba
Teraa Surroor
OK Mein Dhokhe
Darling Don't Cheat
Kapoor & Sons
Rocky Handsome
Ki & Ka
Love Games
The Blueberry Hunt
Kaafiron Ki Namaaz
Fan
Nil Battey Sannata
Laal Rang
Santa Banta Pvt Ltd
Baaghi
Shortcut Safari
One Night Stand
Traffic
1920: London
Murari the Mad Gentleman
Azhar
Buddha in a Traffic Jam
Khel Toh Ab Shuru Hoga
Dear Dad
Sarbjit
Phobia
Veerappan
Fredrick
Housefull 3
Project Marathwada
Do Lafzon Ki Kahani
Dhanak
Te3n
Udta Punjab
Raman Raghav 2.0
Junooniyat
7 Hours To Go
A Scandall
Rough Book
Shorgul
Dil Toh Deewana Hai
Sultan
Brahman Naman
Great Grand Masti
Madaari
Ishq Click
M Cream
Dishoom
Love Ke Funday
Mission Tiger
The Legend of Michael Mishra
Fever
Hai Apna Dil Toh Awara
Budhia Singh – Born to Run
Mohenjo Daro
Rustom
Happy Bhag Jayegi
Waarrior Savitri
A Flying Jatt
Akira
Yea Toh Two Much Ho Gayaa
Island City
Baar Baar Dekho
Freaky Ali
Ek Kahani Julie Ki
Raaz: Reboot
Pink
Parched
Banjo
Days of Tafree
Wah Taj
M.S. Dhoni: The Untold Story
Mirzya
MSG: The Warrior Lion Heart
Tutak Tutak Tutiya
Anna
Motu Patlu: King of Kings
Beiimaan Love
Saat Uchakkey
Fuddu
Aakhir Kab Tak
Final Cut of Director
Love Day - Pyaar Ka Din
Umrika
31st October
My Father Iqbal
Shivaay
Ae Dil Hai Mushkil
Chaar Sahibzaade: Rise of Banda Singh Bahadur
Dongri Ka Raja
Ishq Junoon
Rock On 2
Tum Bin II
Force 2
Dear Zindagi
Saansein
Moh Maya Money
Kahaani 2: Durga Rani Singh
Befikre
Wajah Tum Ho
Dangal
Prakash Electronic
Haraamkhor
Ok Jaanu
Coffee with D
Kaabil
Raees
Hind Ka Napak Ko Jawab: MSG Lion Heart 2
Jolly LLB 2
"U, Me Aur Ghar"
The Great Leader Kanshiram
Running Shaadi
The Ghazi Attack
Irada
Chauhar
Rangoon
Wedding Anniversary
Mona Darling
Commando 2
Jeena Isi Ka Naam Hai
Badrinath Ki Dulhania
Aa Gaya Hero
Trapped
Mantra
Machine
Phillauri
Bhanwarey
Anaarkali of Aarah
Naam Shabana
Poorna: Courage Has No Limit
Laali Ki Shaadi Mein Laaddoo Deewana
Mirza Juuliet
Mukti Bhawan
Saanjh
Begum Jaan
Romeo-N-Bullet
Noor
Ek Thi Rani Aisi Bhi
Maatr
Ajab Singh Ki Gajab Kahani
Mantostaan
Meri Pyaari Bindu
Sarkar 3
Half Girlfriend
Jattu Engineer
Hindi Medium
Chakallaspur
Sachin: A Billion Dreams
Thodi Thodi Si Manmaaniyan
A Death in the Gunj
Hanuman: Da' Damdaar
Sweetiee Weds NRI
Dobaara: See Your Evil
Flat 211
Dear Maya
Raabta
Behen Hogi Teri
Bachche Kachche Sachche
Love You Family
G Kutta Se
Bank Chor
Tubelight
Ek Haseena Thi Ek Deewana Tha
Mom
Guest iin London
Jagga Jasoos
Shab
Lipstick Under My Burkha
Munna Michael
Raag Desh
Indu Sarkar
Mubarakan
Gurgaon
Jab Harry Met Sejal
Toilet: Ek Prem Katha
Partition: 1947
Bareilly Ki Barfi
A Gentleman
Babumoshai Bandookbaaz
Yadvi – The Dignified Princess
Qaidi Band
Sniff
Baadshaho
Shubh Mangal Saavdhan
Poster Boys
Daddy
Simran
Lucknow Central
Patel Ki Punjabi Shaadi
Newton
Bhoomi
The Final Exit
JD
Haseena Parkar
Judwaa 2
ISIS: Enemies of Humanity
Tu Hai Mera Sunday
Chef
Babuji Ek Ticket Bambai
Main Terrorist Nahi Hoon
Ranchi Diaries
Secret Superstar
Golmaal Again
Jia aur Jia
Rukh
Ittefaq
The House Next Door
Ribbon
Shaadi Mein Zaroor Aana
Qarib Qarib Singlle
The Window
Aksar 2
Panchlait
Tumhari Sulu
Dil Jo Na Keh Saka
A Daughter's Tale Pankh
Julie 2
Ajji
Kadvi Hawa
Saankal
Tera Intezaar
Firangi
Fukrey Returns
Game Over
Sallu Ki Shaadi
Monsoon Shootout
Tiger Zinda Hai
1921
Kaalakaandi
Mukkabaaz
Phir Se...
My Birthday Song
Vodka Diaries
Nirdosh
Union Leader
Padmaavat
Pad Man
Love per Square Foot
Aiyaary
Kuchh Bheege Alfaaz
Jaane Kyun De Yaaron
Sonu Ke Titu Ki Sweety
Pari
Veerey Ki Wedding
Hate Story IV
Dil Juunglee
3 Storeys
Raid
Hichki
Shaadi Teri Bajayenge Hum Band
Baaghi 2
Blackmail
Missing
October
Mercury
Zoo
Beyond the Clouds
Nanu Ki Jaanu
Daas Dev
Meri Nimmo
102 Not Out
Omerta
Raazi
Hope Aur Hum
Falooda
High Jack
Khajoor Pe Atke
Parmanu: The Story Of Pokhran
Bioscopewala
Veere Di Wedding
Bhavesh Joshi Superhero
Phamous
Race 3
Lust Stories
Sanju
Hanuman vs Mahiravana
Soorma
When Obama Loved Osama
Dhadak
"Saheb, Biwi Aur Gangster 3"
Nawabzaade
Fanney Khan
Mulk
Brij Mohan Amar Rahe!
Laxmi and Tikli Bomb
Karwaan
Gold
Satyameva Jayate
Genius
Happy Phirr Bhag Jayegi
Toba Tek Singh
Yamla Pagla Deewana: Phir Se
Stree
Once Again
Paltan
Laila Majnu
Gali Guleiyan
Halkaa
Manmarziyaan
Love Sonia
Mitron
Batti Gul Meter Chalu
Manto
Ishqeria
Sui Dhaaga
Pataakha
Loveyatri
Andhadhun
Jalebi
Helicopter Eela
FryDay
Tumbbad
Namaste England
Badhaai Ho
Baazaar
5 Weddings
Kaashi in Search of Ganga
Dassehra
Thugs of Hindostan
Mohalla Assi
Pihu
Hotel Milan
Tigers
Bhaiaji Superhit
2
Rajma Chawal
Kedarnath
Ascharyachakit!
Zero
Simmba
Salt Bridge
Cabaret
Uri: The Surgical Strike
Battalion 609
The Accidental Prime Minister
Evening Shadows
Why Cheat India
SP Chauhan
Fraud Saiyaan
Soni
72 Hours: Martyr Who Never Died
Bombairiya
Rangeela Raja
Thackeray
Manikarnika: The Queen of Jhansi
Ek Ladki Ko Dekha Toh Aisa Laga
The Fakir of Venice
Dosti Ke Side Effects
Amavas
Gully Boy
Hum Chaar
Total Dhamaal
Goopi Gawaiya Bagha Bajaiya
Luka Chuppi
Sonchiriya
Badla
The Sholay Girl
Hamid
Photograph
Milan Talkies
Risknamaa
Mere Pyare Prime Minister
22 Yards
377 Ab Normal
Kesari
Mard Ko Dard Nahi Hota
Ram Ki Janmabhoomi
Notebook
Junglee
Gone Kesh
Romeo Akbar Walter
Jai Chhathi Maa
Albert Pinto Ko Gussa Kyun Aata Hai?
The Tashkent Files
Blackboard vs Whiteboard
Kalank
Music Teacher
Blank
Setters
Yours Truly
Badnaam Gali
Chhota Bheem Kung Fu Dhamaka[a]
Student of the Year 2
Chhoriyan Chhoron Se Kam Nahi Hoti
Gunwali Dulhaniya
De De Pyaar De
India's Most Wanted
PM Narendra Modi
Yeh Hai India
Chopsticks
Bharat
Khamoshi
Kissebaaz
Jaoon Kahan Bata Ae Dil
Kabir Singh
Article 15
Malaal
One Day: Justice Delivered
Hume Tumse Pyaar Kitna
Marudhar Express
Super 30
Family of Thakurganj
Jhootha Kahin Ka
Judgementall Hai Kya
Arjun Patiala
Khandaani Shafakhana
Barot House
Jabariya Jodi
Chicken Curry Law
Pranaam
Batla House
Mission Mangal
Posham Pa
Saaho[b]
Chhichhore
Dream Girl
Section 375
Main Zaroor Aaunga
The Zoya Factor
Pal Pal Dil Ke Paas
Prassthanam
War
The Sky Is Pink
Chappad Phaad Ke
Ghost
Laal Kaptaan
P Se Pyaar F Se Faraar
Upstarts
Yaaram
Officer Arjun Singh IPS Batch 2000
Jacqueline I Am Coming
Housefull 4
Kanpuriye
Made in China
Saand Ki Aankh
Drive
Ujda Chaman
Bala
Bypass Road
Moothon[c]
Satellite Shankar
Jhalki
House Arrest
Keep Safe Distance
Marjaavaan
Motichoor Chaknachoor
Marne Bhi Do Yaaron
Pagalpanti
Commando 3
Yeh Saali Aashiqui
Panipat
Pati Patni Aur Woh
Mardaani 2
The Body
Dabangg 3
Line of Descent[d]
Happi
Good Newwz
Ghost Stories
Beautiful
Bhangra Paa Le
Sab Kushal Mangal
Shimla Mirchi
Half Widow
Chhapaak
Tanhaji
Bunker
Jai Mummy Di
Panga
Street Dancer 3D
Gul Makai
Happy Hardy and Heer
Jawaani Jaaneman
Pagleaazam
Operation Parindey
Hacked
Kaanchli Life in a Slough
Malang
Yahan Sabhi Gyani Hain
Shikara
Khawab Sare Jhoothey
Love Aaj Kal
Shukranu
Bhoot – Part One: The Haunted Ship
The Hundred Bucks
Shubh Mangal Zyada Saavdhan
Yeh Ballet
Doordarshan
Guns of Banaras
Haunted Hills
O Pushpa I Hate Tears
Thappad
Dheet Patangey
Baaghi 3
Guilty
Kaamyaab
Angrezi Medium
Maska
Bamfaad
Ateet
Mrs. Serial Killer
Court Martial
What Are the Odds
Ghoomketu
Chippa
Chintu Ka Birthday
Choked
Axone
Gulabo Sitabo
Kadakh
Chaman Bahaar
Bulbbul
Bhonsle
Unlock
Virgin Bhanupriya
Dil Bechara
Yaara
Shakuntala Devi
Lootcase
Raat Akeli Hai
Pareeksha
Gunjan Saxena: The Kargil Girl
Khuda Haafiz
Captain Vidyut
Class of '83
Mee Raqsam
Sadak 2
Ram Singh Charlie
Atkan Chatkan
Cargo
Dolly Kitty Aur Woh Chamakte Sitare
London Confidential
Halahal
Khaali Peeli
Serious Men
Bahut Hua Samman
Ginny Weds Sunny
The Pickup Artist
Comedy Couple
Kasaai
Taish
Kaali Khuhi
Pepper Chicken
Laxmii
Ludo
Chhalaang
Namumkin Tere Bin Jeena
Sir
Suraj Pe Mangal Bhari
Anwar Ka Ajab Kissa
It's My Life
Darbaan
Durgamati
Indoo Ki Jawani
Nirvana Inn
Torbaaz
Eeb Allay Ooo!
Sayonee
Omprakash Zindabad
Unpaused
AK vs AK
Coolie No. 1
Shakeela
