Aaghaaz
Aaj Ka Ravan
Anjaane
Anokha Moti
Apradhi Kaun
Astitva
Baaghi
Badal
Bas Yaari Rakho
Bawandar
Beti No.1
Bhai Thakur
Bichhoo
Billa No. 786
Bulandi
Chal Mere Bhai
Champion
Deewane
Dhai Akshar Prem Ke
Dhadkan
Dil Ki Dhadkan
Dil Pe Mat Le Yaar
Dr. Babasaheb Ambedkar
Dr Mukta
Dulhan Hum Le Jayenge
Fiza
Gaja Gamini
Gang
Ghaath
Hadh Kar Di Aapne
Hamara Dil Aapke Paas Hai
Har Dil Jo Pyar Karega
Hari-Bhari
Hera Pheri
Hey Ram
Hum To Mohabbat Karega
Jallad No. 1
Jis Desh Mein Ganga Rehta Hain
Joru Ka Ghulam
Josh
Jung
Jungle
Kabrastan
Kahin Pyaar Na Ho Jaaye
Kaho Naa Pyaar Hai
Kairee
Karobaar: The Business of Love
Kharidaar
Khauff
Khiladi 420
Krodh
Kunwara
Kurukshetra
Kya Kehna
Le Chal Apne Sang
Lekroo
Mela
Meri Jung Ka Elaan
Mission Kashmir
Mohabbatein
Nidaan
Pandavas: The Five Warriors
Papa the Great
Phir Bhi Dil Hai Hindustani
The Prince of Light (dubbed)
Pukar
Raja Ko Rani Se Pyar Ho Gaya
Raju Chacha
Refugee
The Revenge: Geeta Mera Naam
Saanjh
Second Generation
Shikaar
Shikari
Snip!
Sultaan
Tapish
Tarkieb
Tera Jadoo Chal Gayaa
Tune Mera Dil Le Liyaa
Zindagi Zindabad
Abhay
Aamdani Atthanni Kharcha Rupaiya
Aashiq
Ajnabee
Aks
Albela
Aśoka
Bas Itna Sa Khwaab Hai
Be-Lagaam[3]
Bengal Tiger
Bhairav
Censor
Chandni Bar
Chhupa Rustam: A Musical Thriller
Chori Chori Chupke Chupke
Daman
Dattak
Deewaanapan
Dil Chahta Hai
Dil Ne Phir Yaad Kiya
Ehsaas: The Feeling
Ek Rishtaa: The Bond of Love
Farz
Gadar: Ek Prem Katha
Grahan
Hadh: Life on the Edge of Death
Hum Ho Gaye Aapke
Indian
Ittefaq
Jodi No.1
Kabhi Khushi Kabhie Gham
Kasam
Kasoor
Kuch Khatti Kuch Meethi
Kyo Kii Main Jhuth Nahin Bolta
Lagaan: Once Upon a Time in India
Lajja
Love Ke Liye Kuchh Bhi Karega
Love You Hamesha
Maya
Mitti
Moksha
Monsoon Wedding
Mujhe Kucch Kehna Hai
Mujhe Meri Biwi Se Bachaao
Nayak
Officer
One 2 Ka 4
Paagalpan
Pyaar Ishq Aur Mohabbat
Pyaar Tune Kya Kiya
Pyaar Zindagi Hai
Rahul
Rehnaa Hai Terre Dil Mein
Shirdi Sai Baba
Style
Tamboo Mein Bamoo
Tera Mera Saath Rahen
Tere Liye
Tum Bin
Yaadein
Yeh Raaste Hain Pyaar Ke
Yeh Teraa Ghar Yeh Meraa Ghar
Yeh Zindagi Ka Safar
Zubeidaa
16 December
23rd March 1931: Shaheed
Aankhen
Aap Mujhe Achche Lagne Lage
Ab Ke Baras
Agni Varsha
Akhiyon Se Goli Maare
Annarth
Ansh: The Deadly Part
Awara Paagal Deewana
Baaja
Badhaai Ho Badhaai
Bollywood Queen
Bomb the System
Chalo Ishq Ladaaye
Chor Machaaye Shor
Company
Deewangee
Desh Devi[2]
Devdas
Dil Hai Tumhaara
Dil Vil Pyar Vyar
Ek Chhotisi Love Story
Encounter: The Killing
Filhaal
Ghaav: The Wound
Gunaah
Haan Maine Bhi Pyaar Kiya
Hathyar
Hum Kisise Kum Nahin
Hum Pyar Tumhi Se Kar Baithe
Hum Tumhare Hain Sanam
Humraaz
Jaani Dushman: Ek Anokhi Kahani
Jang Aur Aman
Jeena Sirf Merre Liye
Kaante
Kabhie Tum Kabhie Hum
Karz: The Burden of Truth
Kehtaa Hai Dil Baar Baar
Kitne Door Kitne Paas
Koi Mere Dil Se Poochhe
Kranti
Kuch Tum Kaho Kuch Hum Kahein
Kya Yehi Pyaar Hai
Kyaa Dil Ne Kahaa
Lal Salaam
Maa Tujhhe Salaam
Maine Dil Tujhko Diya
Makdee
Maseeha
Mere Yaar Ki Shaadi Hai
"Mitr, My Friend"
Mohabbat Ho Gayi Hai Tumse
Mujhse Dosti Karoge!
Mulaqaat
