Nail Polish
Ramprasad Ki Tehrvi
Kaagaz
12 'O' Clock
The Power
Bolo Hau
Tribhanga
Jamun
Madam Chief Minister
Machaan
Maassab
Main Mulayam Singh Yadav
Satya Sai Baba
Lahore Confidential
Sakshi
Bawri Chhori
Tuesdays and Fridays
Tank Cleaner
The Girl on the Train
Bombay Rose
Roohi
Mera Fauji Calling
Time to Dance
Ahaan
Mumbai Saga
Sandeep Aur Pinky Faraar
The Wife
Switchh
D Company
Pagglait
Raag
Saina
Silence... Can You Hear It?
Flight
Koi Jaane Na
The Big Bull
Hello Charlie
99 Songs[b]
Aa Bhi Ja O Piya
Ajeeb Daastaans
Bansuri: The Flute
Raat Baaki Hai
B.A. Pass 3
Meel Patthar
Hum Bhi Akele Tum Bhi Akele
Radhe
Sardar Ka Grandson
Shaadisthan
Skater Girl
Sherni
Haseen Dillruba
Collar Bomb
State of Siege: Temple Attack
Toofaan
14 Phere
Hungama 2
Mimi
Dial 100
Oye Mamu
Shershaah
Bhuj: The Pride of India
Bell Bottom
200 – Halla Ho
Chehre
Helmet
Faactory
Bhoot Police
Kya Meri Sonam Gupta Bewafa Hai?
Thalaivii[c]
Urf Ghanta
Ankahi Kahaniya
Haathi Mere Saathi[d]
Shiddat
Sumeru
Rashmi Rocket
Sanak
Sardar Udham
Bhavai
Babloo Bachelor
Aafat-E-Ishq
Bekhudi
Dybbuk
Hum Do Hamare Do
Meenakshi Sundareshwar
Sooryavanshi
Squad
Bunty Aur Babli 2
Dhamaka
Cash
Ye Mard Bechara
Satyameva Jayate 2
Antim: The Final Truth
Chhorii
Tadap
Bob Biswas
Chandigarh Kare Aashiqui
Velle
Code Name Abdul
420 IPC
83
Atrangi Re
Murder at Teesri Manzil 302
36 Farmhouse
Hai Tujhe Salaam India
Looop Lapeta
Gehraiyaan
Badhaai Do
A Thursday
Gangubai Kathiawadi
Love Hostel
Jhund
Toolsidas Junior
Radhe Shyam[a]
The Kashmir Files
Bachchhan Paandey
Jalsa
Sharmaji Namkeen
Attack: Part 1
Kaun Pravin Tambe?
Cobalt Blue
Dasvi
Hurdang
Jersey
Operation Romeo
Runway 34
Heropanti 2
Mere Desh Ki Dharti
Thar
Jayeshbhai Jordaar
Bhool Bhulaiyaa 2
Dhaakad
Anek
Dehati Disco
Jugjugg Jeeyo
Forensic
Rashtra Kavach Om
Rocketry: The Nambi Effect[c]
Khuda Haafiz: Chapter 2 – Agni Pariksha
HIT: The First Case
Ladki: Dragon Girl
Jaadugar
Judaa Hoke Bhi
Shabaash Mithu
RK/RKay
Shamshera
Ek Villain Returns
Good Luck Jerry
Odd Couple
Darlings
Laal Singh Chaddha
Raksha Bandhan
Dobaaraa
Liger[a]
Holy Cow
Cuttputlli
Brahmāstra: Part One – Shiva
Jahaan Chaar Yaar
Jogi
Matto Ki Saikil
Middle Class Love
Saroj Ka Rishta
Siya
Atithi Bhooto Bhava
Babli Bouncer
Chup: Revenge of the Artist
Dhokha: Round D Corner
Ishq Pashmina
Plan A Plan B
Vikram Vedha
Maja Ma
Goodbye
Nazar Andaaz
Doctor G
Code Name: Tiranga
Ram Setu
Thank God
Tara Vs Bilal
Phone Bhoot
Double XL
Mili
Tadka
Rocket Gang
Uunchai
"Monica, O My Darling"
Thai Massage
Drishyam 2
Mister Mummy
Bhediya
Qala
An Action Hero
Freddy
India Lockdown
Salaam Venky
Vadh
Maarrich
Josef – Born in Grace
Blurr
Govinda Naam Mera
Ajay Wardhan
Trahimam
Cirkus
Dedh Lakh Ka Dulha
Kuttey
Lakadbaggha
Mission Majnu
Chhatriwali
Pathaan
Gandhi Godse – Ek Yudh
Operation Fryday
Almost Pyaar with DJ Mohabbat
Faraaz
Shiv Shastri Balboa
The Tenant[γ]
Lost
Shehzada
Selfiee
Rabia & Olivia
Gulmohar
InCar
Tu Jhoothi Main Makkaar
Mrs. Chatterjee vs Norway
Zwigato
Am I Next
Chor Nikal Ke Bhaga
Bheed
Operation Mayfair
Kanjoos Makhichoos
Bholaa
Gaslight
Gumraah
Mrs. Undercover
Sir Madam Sarpanch
Pinky Beauty Parlour
Kisi Ka Bhai Kisi Ki Jaan
Bad Boy
U-Turn
Mother Teresa & Me
Afwaah
The Kerala Story
Chatrapathi
Music School
IB71
Kathal
Aazam
8 A.M. Metro
Kacchey Limbu
Sirf Ek Bandaa Kaafi Hai
Jogira Sara Ra Ra
Coat
Zara Hatke Zara Bachke
Mumbaikar
Bloody Daddy
Adipurush[β]
I Love You
1920: Horrors of the Heart
Tiku Weds Sheru
Aseq
Satyaprem Ki Katha
Lust Stories 2
Sergeant
Neeyat
Tarla
Blind
72 Hoorain
Ishq-e-Nadaan
Bawaal
Trial Period
Minus 31: The Nagpur Files
Ajmer 92
Rocky Aur Rani Kii Prem Kahaani
One Friday Night
Panch Kriti
Lafzon Mein Pyaar
Gadar 2
OMG 2
Ghoomer
Non Stop Dhamaal
Dream Girl 2
Akelli
Goldfish
Friday Night Plan
Mystery of the Tattoo
Love All
Jawan
Haddi
Jaane Jaan
The Great Indian Family
Sukhee
The Purvanchal Files
The Rise Of Sudarshan Chakra
The Vaccine War
Fukrey 3
Pyaar Hai Toh Hai
Dvand: The Internal Conflict
Tumse Na Ho Payega
Dono
Khufiya
Mission Raniganj
Thank You for Coming
Yaatris
Dhak Dhak
Guthlee Ladoo
Darran Chhoo
Bhagwan Bharose
Ganapath
Yaariyan 2
12th Fail
Tejas
Sajini Shinde Ka Viral Video
Mujib: The Making of a Nation
Mandali
Aankh Micholi
The Lady Killer
Lakeerein
Hukus Bukus
UT69
Three of Us
Shastry Viruddh Shastry
Pippa
Tiger 3
Apurva
Khichdi 2: Mission Paanthukistan
Sab Moh Maaya Hai
Farrey
Starfish
Do Ajnabee
Animal
Sam Bahadur
The Archies
Joram
Kadak Singh
Mast Mein Rehne Ka
Kaisi Ye Dor
Dunki
Dry Day
Kho Gaye Hum Kahan
Safed
Tauba Tera Jalwa
Merry Christmas[b]
Main Atal Hoon
Fighter
Teri Baaton Mein Aisa Uljha Jiya
Bhakshak
Lantrani
Mirg
Dashmi
Kuch Khattaa Ho Jaay
Crakk
Article 370
All India Rank
Chote Nawab
Laapataa Ladies
Dange[b]
Operation Valentine[c]
Kaagaz 2
Fairy Folk
Shaitaan
Tera Kya Hoga Lovely
Alpha Beta Gamma
Yodha
Bastar: The Naxal Story
Murder Mubarak
Ae Watan Mere Watan
Madgaon Express
Swatantrya Veer Savarkar
Crew
Woh Bhi Din The
Patna Shuklla
Bengal 1947
Dukaan
Bade Miyan Chote Miyan
Maidaan
Amar Singh Chamkila
Ameena
Gauraiya Live
Silence 2: The Night Owl Bar Shootout
Love Sex Aur Dhokha 2
Do Aur Do Pyaar
Kaam Chalu Hai
Appu
Luv You Shankar
The Legacy of Jineshwar
Ruslaan
Main Ladega
Srikanth
Tipppsy
Kartam Bhugtam
Bhaiyya Ji
Mr. & Mrs. Mahi
Savi
Chhota Bheem and the Curse of Damyaan
Dedh Bigha Zameen
House of Lies
Malhar[d]
Bajrang Aur Ali
Blackout
Munjya
Phooli
Chandu Champion
Manihar
Luv Ki Arrange Marriage
Ishq Vishk Rebound
Maharaj
Hamare Baarah
Pushtaini
Jahangir National University
Rautu Ka Raaz
Sharmajee Ki Beti
Kooki
Kill
Wild Wild Punjab
Sarfira
Kakuda
Bad Newz
Accident or Conspiracy: Godhra
Bloody Ishq
Pride
Auron Mein Kahan Dum Tha
Ulajh
Aliya Basu Gayab Hai
Phir Aayi Hasseen Dillruba
Ghudchadi
Ghuspaithiya
Khel Khel Mein
Vedaa
Stree 2
Tikdam
A Wedding Story
Pad Gaye Pange
Visfot
The Buckingham Murders
Sector 36
Berlin
Adbhut
Kahan Shuru Kahan Khatam
Yudhra
Nasha Jurm Aur Gangsters
Jo Tera Hai Woh Mera Hai
"Love, Sitara"
Binny And Family
CTRL
Amar Prem Ki Prem Kahani
The Signature
Jigra
Vicky Vidya Ka Woh Wala Video
Aayushmati Geeta Matric Pass
Do Patti
Bandaa Singh Chaudhary
The Miranda Brothers
Navras Katha Collage
Bhool Bhulaiyaa 3
Singham Again
Vijay 69
Ella
Khwaabon Ka Jhamela
The Sabarmati Report
Naam
I Want to Talk
Sikandar Ka Muqaddar
Agni
Zero Se Restart
Despatch
Vanvaas
Baby John
Kisko Tha Pata
