No One Killed Jessica
Impatient Vivek
Yamla Pagla Deewana
Turning 30!!!
Mumbai Mast Kallander
Odyssey of Persistence
Dhobi Ghat
Hostel
Dil Toh Baccha Hai Ji
Yeh Saali Zindagi
United Six
Utt Pataang
Angel
Patiala House
Aashiqui.in
7 Khoon Maaf
Kaccha Limboo
Masti Express
Tanu Weds Manu
Satrangee Parachute
Yeh Faasley
Happy Husbands
Monica
Game
F.A.L.T.U
Memories in March
Zokkomon
Shor in the City
Chalo Dilli
I Am
Naughty @ 40
Luv Ka The End
Haunted – 3D
Love U...Mr. Kalakaar!
Ragini MMS
Shagird
Pyaar Ka Punchnama
Kucch Luv Jaisaa
Ready
Shaitan
Bheja Fry 2
Always Kabhi Kabhi
Bhindi Baazaar Inc.
Bin Bulaye Baraati
Double Dhamaal
Bbuddah... Hoga Terra Baap
Delhi Belly
Murder 2
Chillar Party
Zindagi Na Milegi Dobara
Singham
Khap
I Am Kalam
Milta Hai Chance By Chance
Aagaah: The Warning
Aarakshan
Phhir
Chatur Singh Two Star
Not a Love Story
Sahi Dhandhe Galat Bande
Chitkabrey – Shades of Grey
Shabri
Yeh Dooriyan
Bodyguard
Rivaaz
Mausam
U R My Jaan
Force
Hum Tum Shabana
"Saheb, Biwi Aur Gangster"
Tere Mere Phere
Chargesheet
Na Jaane Kabse Hum Hi
Rascals
Love Breakups Zindagi
Aazaan
Oh God! Saare Hain Fraud
Ra.One
Tell Me O Kkhuda
Damadamm!
Loot
Miley Naa Miley Hum
Rockstar
Super K – The Movie
Shakal Pe Mat Ja
Desi Boyz
The Dirty Picture
I Am Singh
Ladies vs Ricky Bahl
Jo Hum Chahein
Pappu Can't Dance Saala
Don 2
Players
Chaalis Chauraasi
Ghost
Sadda Adda
Agneepath
Gali Gali Chor Hai
Valentine's Night
Ekk Deewana Tha
?: A Question Mark
Married 2 America
Jodi Breakers
Tere Naal Love Ho Gaya
"London, Paris, New York"
Paan Singh Tomar
Will You Marry Me?
Kahaani
Chaar Din Ki Chandni
Say Yes to Love
Akkad Bakkkad Bam Be Bo
Zindagi Tere Naam
Agent Vinod
Blood Money
Bumboo
Housefull 2
Bittoo Boss
Ab Hoga Dharna Unlimited
Vicky Donor
Hate Story
Chhodo Kal Ki Baatein
Tezz
Life Ki Toh Lag Gayi
Jannat 2
Fatso!
The Forest
"Love, Lies & Seeta"
Dangerous Ishq
Chhota Bheem and the Curse of Damyaan
Ishaqzaade
Department
Mr. Bhatti on Chutti
Arjun: The Warrior Prince
MLA
Rakhtbeej
Yeh Khula Aasmaan
"Love, Wrinkle-free"
Rowdy Rathore
Shanghai
Ferrari Ki Sawaari
Qasam Se Qasam Se
Teri Meri Kahaani
Gangs of Wasseypur – Part 1
Maximum
Bol Bachchan
3 Bachelors
Cocktail
Gattu
Challo Driver
Mere Dost Picture Abhi Baki Hai
Kyaa Super Kool Hain Hum
Aalaap
Overtime
Jism 2
Krishna Aur Kans
Gangs of Wasseypur – Part 2
Paanch Ghantey Mien Paanch Crore
Ek Tha Tiger
Shirin Farhad Ki Toh Nikal Padi
Joker
Jalpari: The Desert Mermaid
From Sydney with Love
I M 24
Raaz 3: The Third Dimension
Chal Pichchur Banate Hain
Barfi!
Jeena Hai Toh Thok Daal
Heroine
